source_entity,target_entity,relationship_description,relationship_strength,readable_id,relationship_id,source_chunk_ids,embedding
MASTER HOUYHNYM,AUTHOR,The author does not praise any animal of our composition before Master Houyhnhnm,9.0,12,dc039755-ffda-4e3e-ba5d-bde332071895,['396968fc-46d3-4b4d-8378-9dd10dbccb1d'],[]
ENGLAND,QUEEN ELIZABETH,Queen Elizabeth was the queen of England during the speaker's time,8.0,13,191a58ad-0aeb-46a6-8c1c-f9237015bad9,['77ebfd82-c7bc-4a89-99f0-c2d6263cb213'],[]
QUEEN ELIZABETH,CHIEF MINISTER,Queen Elizabeth governed through chief ministers,9.0,14,592b5b09-9eee-499c-ad6d-a215b303ab37,['77ebfd82-c7bc-4a89-99f0-c2d6263cb213'],[]
CHIEF MINISTER,LORD OF GODOLPHIN,Lord of Godolphin was the first chief minister during Queen Elizabeth's reign,7.0,15,4957445a-44c5-4842-85f3-5c9ba1f62c3f,['77ebfd82-c7bc-4a89-99f0-c2d6263cb213'],[]
CHIEF MINISTER,LORD OF OXFORD,Lord of Oxford was the second chief minister during Queen Elizabeth's reign,7.0,16,bd9ebe21-6dce-4245-8a20-1909f33918df,['77ebfd82-c7bc-4a89-99f0-c2d6263cb213'],[]
ACADEMY OF PROJECTORS,HOUYHNHNM,The narrator mentions the Academy of Projectors in a discourse to Houyhnhnm,5.0,17,eecd556b-06d3-416a-8013-c44fe5a05b05,['e4aa4448-02ed-4357-a13f-9e0f3320619a'],[]
YAHOO,HOUYHNHNM,The Yahoos are carried by Houyhnhnms in a vehicle,8.0,18,55fce5c7-194b-47ee-8f81-b134cd2fa367,['e4aa4448-02ed-4357-a13f-9e0f3320619a'],[]
HOUYHNHNMS,VEHICLE,Houyhnhnms carry others in a vehicle,8.0,19,8ead77af-0455-45b6-a599-66f2d3232983,['8e677ad7-4765-4d0f-8a7e-2ed8827adcfa'],[]
BOOK,ISLAND,The book was intended to have an effect on stopping abuses and corruptions on the island,5.0,20,4c745dc4-fe8c-4766-b385-b34e43f4d07f,['bd110435-2750-4f47-a5fc-a968d7c0bcab'],[]
YAHOO,CARRIER,The Yahoos are sending letters through the carrier,1.0,21,bdecfec2-0805-46b8-bdcd-ad5ad919ee40,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
YAHOO,LIBELS,The Yahoos are writing libels,1.0,22,e80af341-15f0-4d3b-a0d9-e1486ff8f115,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
YAHOO,KEYS,The Yahoos are writing keys,1.0,23,47b66d99-e030-4228-921f-6216419d5aa4,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
YAHOO,REFLECTIONS,The Yahoos are writing reflections,1.0,24,4848e54a-c291-471f-a965-0e7a06316d6d,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
YAHOO,MEMOIRS,The Yahoos are writing memoirs,1.0,25,383d2da3-68e5-4d33-93f8-a8135f01ab4b,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
YAHOO,SECOND PARTS,The Yahoos are writing second parts,1.0,26,bd7cc320-82f8-453b-9ce9-643d74fb6f96,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
YAHOO,STATE FOLK,The Yahoos are reflecting upon state folk,1.0,27,0c0645c6-1f37-448d-9efd-66972a6681d9,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
YAHOO,HUMAN NATURE,The Yahoos are degrading human nature,1.0,28,6b3a581d-c4df-4b07-ab04-90af4ed9833d,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
YAHOO,FEMALE SEX,The Yahoos are abusing the female sex,1.0,29,97f7b0e3-a5cd-43fc-bc9d-5bb8a3c8d214,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
CARRIER,LIBELS,The carrier is delivering libels,1.0,30,6569c164-4bf7-4d2b-a586-ef276ff54a2d,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
CARRIER,KEYS,The carrier is delivering keys,1.0,31,56251fd1-b314-419e-bb90-b6e7135f96c3,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
CARRIER,REFLECTIONS,The carrier is delivering reflections,1.0,32,17b967c5-5fe6-4dc7-a927-9ce96ca00a12,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
CARRIER,MEMOIRS,The carrier is delivering memoirs,1.0,33,87205c3c-b159-4626-8b0f-e6afd4af8873,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
CARRIER,SECOND PARTS,The carrier is delivering second parts,1.0,34,1c160342-9724-494f-9f19-62bae10a82a6,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
CARRIER,STATE FOLK,The carrier is delivering letters reflecting upon state folk,1.0,35,07c67a72-1e03-43b3-bf69-09d1397e6596,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
CARRIER,HUMAN NATURE,The carrier is delivering letters degrading human nature,1.0,36,d52c0fe6-ebd9-4c77-9ed7-6349f735552c,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
CARRIER,FEMALE SEX,The carrier is delivering letters abusing the female sex,1.0,37,216640a5-6f0c-48cf-96f1-d0bc83ce872e,['d5bd6af7-e68a-4e87-9848-4a1040431638'],[]
PRINTER,BOOK,The printer is responsible for printing and publishing the book,8.0,38,043c4154-0fd0-4cba-a760-33dad4f1f53e,['c059adaa-6cc9-4a96-bf7a-688da11ea541'],[]
VOYAGES,RETURNS,The voyages are followed by the returns,7.0,39,9c742b04-9418-4d8f-b684-7f099bf50a15,['c059adaa-6cc9-4a96-bf7a-688da11ea541'],[]
BOOK,MANUSCRIPT,The manuscript of the book is destroyed,6.0,40,b14aabbd-f288-4144-abf4-0e53f3c59dab,['c059adaa-6cc9-4a96-bf7a-688da11ea541'],[]
BOOK,CORRECTIONS,Corrections can be inserted in a second edition of the book,5.0,41,8d29517c-7f91-4f8e-b852-a0fbeac0351e,['c059adaa-6cc9-4a96-bf7a-688da11ea541'],[]
BOOK,READERS,The readers can adjust the book as they please,4.0,42,c8164263-cb04-40a2-a10d-29338ff0f7e9,['c059adaa-6cc9-4a96-bf7a-688da11ea541'],[]
SEA YAHOO,MARINERS,The speaker learned their sea-language from the oldest mariners,8.0,43,1cc905a0-2e85-4252-b5f8-64bae6044e54,['04232789-8398-47ec-b709-c11dc3f70e5e'],[]
SEA YAHOO,LAND YAHOO,Sea Yahoos and Land Yahoos have different languages,6.0,44,2bf04d4a-b9a1-4ed2-904e-3344d88ac25a,['04232789-8398-47ec-b709-c11dc3f70e5e'],[]
LONDON,HOUSE,The Yahoo visits the speaker at their house,4.0,45,7aa1b70d-f0a5-4854-9016-618abad587b4,['04232789-8398-47ec-b709-c11dc3f70e5e'],[]
YAHOO,UTOPIA,The Yahoos are compared to the inhabitants of Utopia as fictional beings,5.0,46,5cd3b548-009c-420a-8a8a-54aa518a30af,['d99a98ea-e131-4717-b80e-ac58f1f78f4d'],[]
HOUYHNHNM,UTOPIA,The Houyhnhnms are compared to the inhabitants of Utopia as fictional beings,5.0,47,52b77bb9-0a0c-4ea8-8e3f-6c7e69447c14,['d99a98ea-e131-4717-b80e-ac58f1f78f4d'],[]
HOOUYHNNHMS,YAHOOS,The Houyhnhnms and Yahoos are mentioned together in the text,8.0,48,5011f522-738e-49d1-8d52-484f6ea2bde8,['2bb4808d-b2f7-4e4d-bde1-c1635edce185'],[]
YAHOO,HOUYHNHNMLAND,Yahoos are a species of animal that live in Houyhnhnmland,10.0,49,d8af1cb5-854d-475f-9cbb-de8080b6268d,['92c455cc-c23a-4e6d-9868-95c71d6da60e'],[]
YAHOO,EUROPEANS,"Yahoos are known for their habit of lying, shuffling, deceiving, and equivocating, especially among Europeans",8.0,50,fc8d7966-3e84-4130-82b5-45096c35d2c4,['92c455cc-c23a-4e6d-9868-95c71d6da60e'],[]
AUTHOR,FAMILY,The author is a member of the family,8.0,51,c50a141b-50ff-4203-8e5b-21aa58b20a6e,['0aecae3a-3015-4583-8936-86ccdf41135f'],[]
AUTHOR,LILLIPUT,The author is taken prisoner in Lilliput and describes his experiences and observations in the country.,8.5,52,43aa8eec-ff89-4ccf-9238-0942b52f0e4e,"['0aecae3a-3015-4583-8936-86ccdf41135f', 'b9c8a47a-bcbd-40eb-835e-7e0160c43604']",[]
NOTTINGHAMSHIRE,EMANUEL COLLEGE,The narrator's small estate in Nottinghamshire funded his education at Emanuel College,5.0,53,b9664dc9-d53e-4e5b-ac44-d673583eb7e3,['6b9db9ef-cb36-43b8-b34d-d50e871b8754'],[]
EMANUEL COLLEGE,CAMBRIDGE,Emanuel College is located in Cambridge,8.0,54,c9f2ba03-9254-428a-be7a-6f3a32ee8c2a,['6b9db9ef-cb36-43b8-b34d-d50e871b8754'],[]
MR. BATES,LONDON,Mr. James Bates practices as a surgeon in London,9.0,55,1869712d-e145-485d-a958-3e1c9853b635,['6b9db9ef-cb36-43b8-b34d-d50e871b8754'],[]
MR. BATES,JAMES BATES,Mr. James Bates is the eminent surgeon in London,10.0,56,35cbd2fc-c6a5-4e12-bbf6-129913c1277b,['6b9db9ef-cb36-43b8-b34d-d50e871b8754'],[]
JOHN,LEYDEN,Uncle John provided assistance for the narrator to study in Leyden,7.0,57,a575f0eb-77a8-487f-8528-5040e035015b,['6b9db9ef-cb36-43b8-b34d-d50e871b8754'],[]
LEYDEN,PHYSIC,The narrator studied physic in Leyden,9.0,58,1ade8adf-b192-4436-982f-0b1c8f264ecd,['6b9db9ef-cb36-43b8-b34d-d50e871b8754'],[]
MR. BATES,SWALLOW,Mr. Bates recommended the narrator to be a surgeon on the Swallow,8.0,59,7844bc1c-7993-4c13-afe2-05753c2aafb4,['b4161f6a-7018-4792-a989-b42e9abd03ec'],[]
SWALLOW,ABRAHAM PANNEL,Captain Abraham Pannel was the commander of the Swallow,9.0,60,66e90add-2bdc-48a3-8bc1-ab409bf4c674,['b4161f6a-7018-4792-a989-b42e9abd03ec'],[]
LEVANT,SWALLOW,The narrator made voyages to the Levant on the Swallow,6.0,61,2a657adc-0b02-48dc-bc6f-e232e6bed895,['b4161f6a-7018-4792-a989-b42e9abd03ec'],[]
LONDON,OLD JEWRY,The narrator settled in London and took part of a small house in the Old Jewry,7.0,62,a35cf271-48e3-46ba-bda7-cee46879b700,['b4161f6a-7018-4792-a989-b42e9abd03ec'],[]
EDMUND BURTON,MARY BURTON,"Edmund Burton is the father of Mary Burton, the narrator's wife",8.0,63,f6615e75-7efe-4ce1-8f07-588801412e19,['b4161f6a-7018-4792-a989-b42e9abd03ec'],[]
ANTOLOPE,WILLIAM PRICHARD,William Prichard was the captain of the Antelope ship,8.0,64,0fa4e791-9e1b-4920-bc37-bb31a8a6f3e5,['c4d64802-28b8-45c7-987b-e031a7af20ef'],[]
ANTOLOPE,BRISTOL,The Antelope ship set sail from Bristol,7.0,65,f4eac412-c6a9-4fac-97a3-e33929340ec0,['c4d64802-28b8-45c7-987b-e031a7af20ef'],[]
ANTOLOPE,SOUTH SEA,The Antelope ship was making a voyage to the South Sea,9.0,66,45a69e8d-87ac-4315-ab16-0f4fd9c6fd85,['c4d64802-28b8-45c7-987b-e031a7af20ef'],[]
SHIP,ROCK,The ship was driven onto the rock and split,8.0,67,00f4cfb2-e149-417f-9fa2-df64e93e8d43,['989e3949-20b6-4e70-8afd-c7c8dce1c30b'],[]
CREW,BOAT,The crew used the boat to escape the ship,9.0,68,6348e088-84a6-4112-a1e2-a493aa218e2d,['989e3949-20b6-4e70-8afd-c7c8dce1c30b'],[]
SHIP,BOAT,The boat was used after the ship was no longer usable,8.0,69,ec3038ac-9bc6-4256-af82-73c42b39e422,['bf2012ad-bc03-423f-9c44-2c26e0430d24'],[]
BOAT,WAVES,The boat was overset by the waves,9.0,70,1bba80b3-e5b6-4e7f-8bca-067ae8db7ca7,['bf2012ad-bc03-423f-9c44-2c26e0430d24'],[]
NORTH,BOAT,The boat was overset by a sudden flurry from the north,7.0,71,91d3c985-a075-4990-808b-e46f2fc62d5c,['bf2012ad-bc03-423f-9c44-2c26e0430d24'],[]
COMPANIONS,BOAT,The companions were in the boat,6.0,72,dc4de2f1-5175-43a1-a317-9bf5a01550eb,['bf2012ad-bc03-423f-9c44-2c26e0430d24'],[]
COMPANIONS,ROCK,Some of the companions escaped to the rock,7.0,73,e7c80ff4-70bb-4d55-a250-e3fcc220ca93,['bf2012ad-bc03-423f-9c44-2c26e0430d24'],[]
LEGS,BOTTOM,The legs can feel the bottom of the water when swimming,8.0,74,90032d10-2cc1-4288-a25d-120d63c8bed8,['3d68f08a-5a2e-445a-92df-3696fca8fa56'],[]
LEGS,SHORE,The legs are used for walking on the shore,9.0,75,c7b03f72-ef7e-4323-8aea-a963dc9af0ac,['3d68f08a-5a2e-445a-92df-3696fca8fa56'],[]
STORM,BOTTOM,The storm caused the water to become deep,6.0,76,0aa7178e-8844-4a7b-b176-cdbde9f8b912,['3d68f08a-5a2e-445a-92df-3696fca8fa56'],[]
BOTTOM,SHORE,The shore is located at the bottom of the water,7.0,77,7a7c182c-44e7-4099-aff7-515ce6f95472,['3d68f08a-5a2e-445a-92df-3696fca8fa56'],[]
BOTTOM,GRASS,The grass grows on the bottom of the water,4.0,78,14782833-2b51-4841-b4c6-5104761a1417,['3d68f08a-5a2e-445a-92df-3696fca8fa56'],[]
BRANDY,LEGS,The brandy consumed affected the ability to walk,5.0,79,962a2b6a-1f42-4c69-b219-ef587e67c63e,['3d68f08a-5a2e-445a-92df-3696fca8fa56'],[]
I,GROUND,The person is fastened to the ground with their arms and legs,8.0,80,143e3a42-4a8f-4315-8bf9-22f6d79f3314,['298cd5e8-2a3c-4674-a60c-5fd365d72039'],[]
I,HAIR,The person's hair is tied down,6.0,81,a8f30ee7-7852-4e1f-8817-5181f42447d3,['298cd5e8-2a3c-4674-a60c-5fd365d72039'],[]
I,SKY,The person can only see the sky as they are lying on their back,7.0,82,76c77aa9-9b33-426b-8611-007c581d7a5e,['298cd5e8-2a3c-4674-a60c-5fd365d72039'],[]
HUMAN CREATURE,BOW AND ARROW,The human creature is holding a bow and arrow,8.0,83,5750abe2-4625-4f88-88d7-0997cee4e25a,['092c0682-190c-4894-98da-ec85d7378d49'],[]
HUMAN CREATURE,QUIVER,The human creature has a quiver on his back,7.0,84,a8447103-f251-480b-8d01-5645f402ed7e,['092c0682-190c-4894-98da-ec85d7378d49'],[]
CREATURES,ARROWS,The creatures shot arrows at the speaker,8.0,85,b9e90026-81ba-4193-9d1f-7e61380b8723,['7420c771-d199-4a02-9e1b-d56746cdfcf6'],[]
CREATURES,BOMBS,The creatures shot bombs into the air,6.0,86,1b482b51-b182-4b7b-b8e7-3a0c248d53c5,['7420c771-d199-4a02-9e1b-d56746cdfcf6'],[]
ARROWS,BUFF JERKIN,The arrows pricked the speaker but could not pierce the buff jerkin,7.0,87,6fb93465-8173-4c8c-a201-adb88252c920,['7420c771-d199-4a02-9e1b-d56746cdfcf6'],[]
PEOPLE,ARROWS,The people discharged arrows at the narrator,8.0,88,d3428478-6134-41f3-b325-26a275d07c1c,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
PEOPLE,NOISE,The people's presence was indicated by the noise they made,6.0,89,50ad70c0-34d7-4d5b-af2b-179d0b205c33,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
KNOCKING,INHABITANTS,The knocking sound was made by the inhabitants,7.0,90,2281cb85-cb23-4386-be93-3c934e810656,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
INHABITANTS,STAGE,The inhabitants erected the stage,9.0,91,84d521d0-19c6-40b6-ae0d-ae28ff6a05a4,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
INHABITANTS,LADDERS,The inhabitants provided ladders to access the stage,7.0,92,22e6a410-6404-4666-89de-9f274815f5cd,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
INHABITANTS,PERSON OF QUALITY,The person of quality was one of the inhabitants,8.0,93,d732bd71-2afa-4d9e-92d0-788f2c21574d,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
PERSON OF QUALITY,SPEECH,The person of quality made a speech,9.0,94,5688a2f9-c4a3-4dcf-a075-a0d03563c568,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
PEG,STRING,The pegs and strings fastened the narrator's head,6.0,95,f8e125c1-85a0-4639-b4a0-f71fa3ae60e6,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
INHABITANTS,PEG,The inhabitants cut the strings that fastened the narrator's head,8.0,96,6d79fbf0-351a-4cb1-a4d8-ff7ed57aad48,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
INHABITANTS,STRING,The inhabitants cut the strings that fastened the narrator's head,8.0,97,5a94b423-5d37-4534-a348-09604708dc3a,['ce9ef7f9-a716-4f3b-bf78-31ea11e4d083'],[]
PERSON,PAGE,The page is supporting the speaker,7.0,98,0b82cc87-6e12-43ff-ae40-1815fb29df8f,['03ce8b51-c87d-4a08-850c-a9af9f111872'],[]
SHIP,HUNGER,"The narrator had not eaten for hours before leaving the ship, causing them to feel hungry",6.0,99,061f27c5-dbb0-4056-8103-ab9998d87f14,['dec068d3-2b0b-4335-892a-ef214b797ba5'],[]
NATURE,HUNGER,"The demands of nature, such as hunger, were strong upon the narrator",8.0,100,e7894062-8d79-47f3-a2cb-9a393af843a0,['dec068d3-2b0b-4335-892a-ef214b797ba5'],[]
FINGER,MOUTH,The narrator put their finger to their mouth to signify that they wanted food,9.0,101,aa9b39f0-ae1b-4902-97c7-9880d00d69fd,['dec068d3-2b0b-4335-892a-ef214b797ba5'],[]
HURGO,INHABITANTS,The hurgo commanded the inhabitants to bring food to the narrator,8.0,102,29e63688-cd07-482b-ae2c-4530c08b6051,['dec068d3-2b0b-4335-892a-ef214b797ba5'],[]
LADDERS,INHABITANTS,Ladders were used by the inhabitants to reach the narrator's mouth,6.0,103,43303389-a71e-41cc-b365-b7ecb7b98166,['dec068d3-2b0b-4335-892a-ef214b797ba5'],[]
INHABITANTS,MEAT,The inhabitants brought baskets full of meat to the narrator,7.0,104,f40539f5-5adb-436d-aac1-917fb7b19950,['dec068d3-2b0b-4335-892a-ef214b797ba5'],[]
KINGS,MEAT,The king ordered the meat to be provided and sent to the narrator,7.0,105,89bf63e2-6a1f-4a5a-a448-8d0332ba3a8b,['dec068d3-2b0b-4335-892a-ef214b797ba5'],[]
ANIMALS,MUTTON,The flesh resembled the taste of mutton,7.0,106,44f81f00-85fa-4792-b81a-92f995e87da8,['01cede26-f8b3-4faf-aa42-9eda3c8e316a'],[]
WINGS,LARK,The shape of the flesh resembled the shape of a lark's wings,9.0,107,9b7a06b2-fc61-4c26-89a0-b12e2d9defb8,['01cede26-f8b3-4faf-aa42-9eda3c8e316a'],[]
LOAVES,MUSKET BULLETS,The size of the loaves was compared to musket bullets,6.0,108,d707dd18-94d0-4147-88ed-3d02f9c092b1,['01cede26-f8b3-4faf-aa42-9eda3c8e316a'],[]
HOGSHEAD,BURGUNDY,The wine in the hogshead tasted like a small wine of Burgundy,7.0,109,7644bc08-e874-44e0-b81f-a3e762797476,['fba164eb-3264-481d-abac-35c66f3e8bc2'],[]
BODY,GROUND,The speaker considered dashing the creatures against the ground,8.0,110,3dd80525-51a0-46f1-8584-85f4a0eb39a8,['2fbad86f-b459-46a2-9fcc-00d7eac20287'],[]
HIGH RANK PERSON,IMPERIAL MAJESTY,The high rank person represents the imperial majesty,8.0,111,4fedcc8e-4f4f-4737-ae07-a3eba0988376,['53fa7eea-c150-4065-be4d-68dbff98907f'],[]
HIGH RANK PERSON,CAPITAL CITY,The high rank person is leading the way to the capital city,7.0,112,cab1adac-e0b0-4f03-aa85-6789eca821bd,['53fa7eea-c150-4065-be4d-68dbff98907f'],[]
I,LIBERTY,I desire my liberty,8.0,113,1dd4a969-56f9-4aeb-9b22-c25e4e3f2188,['c800b3ae-b23b-4ffa-9a60-f2ca9a9373d1'],[]
BONDS,ARROWS,"The arrows caused blisters on the speaker's face and hands, which were bound by the bonds",5.0,114,ff3270a3-0cea-42fb-80a1-d8a709af9890,['2743d88c-6495-4dd8-9081-94ec4a604d98'],[]
ARROWS,DARTS,The arrows are the same as the darts that are sticking in the speaker's face and hands,7.0,115,062559e4-55ca-4cd9-a5aa-4e3c06cd59f9,['2743d88c-6495-4dd8-9081-94ec4a604d98'],[]
ENEMIES,HURGO,The hurgo is the leader of the enemies,8.0,116,9c3a4cf0-f2ab-4324-aafc-bb0e4b5b5f77,['2743d88c-6495-4dd8-9081-94ec4a604d98'],[]
PEPLOM SELAN,ENEMIES,"The people shout the words Peplom selan, which is related to the enemies",6.0,117,d8613bee-71ea-49af-a3a9-1e5e6f052e31,['2743d88c-6495-4dd8-9081-94ec4a604d98'],[]
ARROWS,I,The arrows caused pain and were treated with ointment,8.0,118,d0145d71-a9a4-4e44-979a-0f68f88df5b6,['a32653ef-d4b7-4ab0-af86-f1f51e659eaf'],[]
OINTMENT,I,The ointment relieved the pain caused by the arrows,9.0,119,ec646b69-60e5-4c86-9b8c-c999d65849c3,['a32653ef-d4b7-4ab0-af86-f1f51e659eaf'],[]
VICTUALS,I,The food provided nourishment to the narrator,7.0,120,f6897d2b-3c78-46da-b4f9-8d0d879e41fd,['a32653ef-d4b7-4ab0-af86-f1f51e659eaf'],[]
DRINK,I,The drink provided nourishment to the narrator,7.0,121,61d15748-4252-4b41-81a7-58e8aaf26c07,['a32653ef-d4b7-4ab0-af86-f1f51e659eaf'],[]
PHYSICIANS,EMPEROR,The physicians administered the potion at the emperor's order,6.0,122,3c48fdb1-21a3-47db-870c-abb3eddbdce1,['a32653ef-d4b7-4ab0-af86-f1f51e659eaf'],[]
SLEEP,I,The narrator slept for eight hours,8.0,123,97de2bc1-4ef4-40f7-903f-9785a3946865,['a32653ef-d4b7-4ab0-af86-f1f51e659eaf'],[]
EMPEROR,CAPITAL CITY,The emperor ordered a machine to be prepared to carry the protagonist to the capital city,8.0,124,32c8458f-cef7-4dfd-a7cf-082aa674837f,['a05303a6-b958-489f-93f4-d30385d43aab'],[]
EMPEROR,MACHINES,The emperor encourages the development and use of machines for transportation,8.0,125,09501d81-72bf-4642-8e78-d55919c64a50,['389f59fb-c2e9-4c83-9ad1-4b6f334fb0fd'],[]
EMPEROR,MEN OF WAR,The emperor oversees the construction and transportation of large men of war,9.0,126,fc598d08-12eb-42aa-8bbd-5bb852d90917,['389f59fb-c2e9-4c83-9ad1-4b6f334fb0fd'],[]
CARPENTERS,ENGINE,The carpenters and engineers were employed to prepare the greatest engine,7.0,127,0d8cb6a2-d2af-4c74-9319-a9600b4025d2,['389f59fb-c2e9-4c83-9ad1-4b6f334fb0fd'],[]
WORKMEN,POLES,The workmen erected the poles to support the cords,8.0,128,a05105bd-26ba-475e-ab4c-cf7c173c57bd,['93bf3a20-51b8-4e3b-ad2c-549e1bc02445'],[]
WORKMEN,CORDS,The workmen fastened the cords to the bandages on the speaker's body,8.0,129,c3618641-3fa7-4fe9-ac8d-6a4f4a50e75b,['93bf3a20-51b8-4e3b-ad2c-549e1bc02445'],[]
MEN,CORDS,The men used the cords to lift the speaker into the vehicle,9.0,130,81a37692-7696-433f-ad27-f87a5e6f8997,['93bf3a20-51b8-4e3b-ad2c-549e1bc02445'],[]
EMPEROR,METROPOLIS,The emperor resides in the metropolis,8.0,131,ee810c0d-248e-48c3-8028-24aa1370e232,['1f1387d5-7e7d-4b92-9adf-c87f1171d3ef'],[]
CARRIAGE,NATIVES,The natives climbed into the carriage,5.0,132,5faa49c2-4f1f-4710-998f-ced550e51edf,['ad777ab5-b31e-4005-8a9c-9a7a845cefd9'],[]
OFFICER,CARRIAGE,The officer climbed into the carriage,7.0,133,44dc4e95-a4d5-4f25-ba14-af85d103897c,['ad777ab5-b31e-4005-8a9c-9a7a845cefd9'],[]
OFFICER,NOSE,The officer tickled the narrator's nose with his half-pike,8.0,134,24aaef37-fa65-4f5a-b70d-9bf9b257d190,['ad777ab5-b31e-4005-8a9c-9a7a845cefd9'],[]
GUARDS,CARRIAGE,The guards rested near the carriage,6.0,135,270a14d3-90af-461e-a3df-e60518ad66ff,['ad777ab5-b31e-4005-8a9c-9a7a845cefd9'],[]
GUARDS,TORCHES,Half of the guards had torches,6.0,136,2a159f3f-cd0c-4f82-bcf3-cfcdf0a3ae20,['ad777ab5-b31e-4005-8a9c-9a7a845cefd9'],[]
GUARDS,BOWS AND ARROWS,Half of the guards had bows and arrows,6.0,137,5756008a-3557-4e22-9872-523afc47af6b,['ad777ab5-b31e-4005-8a9c-9a7a845cefd9'],[]
EMPEROR,COURT,"The emperor is accompanied by his court, who are involved in decision-making and have shown favor towards the narrator. The court surrounds the emperor and even accompanies him on the shore. The empress also reacts to the protagonist's actions by moving to the distant side of the court.",7.8,138,1a4febb6-a4b2-49e8-a57c-343df2f8923c,"['ad777ab5-b31e-4005-8a9c-9a7a845cefd9', 'c7c04626-b391-4c25-9b4c-27521a8b56f8', '071bfe8f-974e-4b2f-96cf-e39315d48dc0', '33d4474d-7ab9-43cb-9ed9-64933941218c', '032d6fd7-c6db-455a-8b59-214c0e79e37e']",[]
